Merchant Name,Integration Type,3DS,Non-3DS,FirstName,LastName,Email,CyberSource,MPGS-3D,Tabby,User_ID,Password
Merchant08125446,Aggregator Hosted,no,yes,FNameHRWGJR,LNameHRWGJR,padmawati.taddy@bankfab.com,yes,no,yes,FNameHRWGJR779,Test@123
Merchant08125634,Aggregator Hosted,no,yes,FNameXRHNSB,LNameXRHNSB,padmawati.taddy@bankfab.com,no,yes,yes,FNameXRHNSB685,Test@123
Merchant08125821,Aggregator Hosted,yes,no,FNameADTLUY,LNameADTLUY,padmawati.taddy@bankfab.com,yes,no,yes,FNameADTLUY258,Test@123
Merchant08130007,Aggregator Hosted,yes,no,FNameOVFJNF,LNameOVFJNF,padmawati.taddy@bankfab.com,no,yes,yes,FNameOVFJNF883,Test@123
Merchant08130153,Aggregator Hosted,yes,yes,FNameQEVAML,LNameQEVAML,padmawati.taddy@bankfab.com,yes,no,yes,FNameQEVAML312,Test@123
Merchant08130340,Aggregator Hosted,yes,yes,FNameYPTRWT,LNameYPTRWT,padmawati.taddy@bankfab.com,no,yes,yes,FNameYPTRWT996,Test@123
Merchant08130527,JS Checkout,no,yes,FNameEACRTY,LNameEACRTY,padmawati.taddy@bankfab.com,yes,no,yes,FNameEACRTY322,Test@123
Merchant08130714,JS Checkout,no,yes,FNameSFLCSU,LNameSFLCSU,padmawati.taddy@bankfab.com,no,yes,yes,FNameSFLCSU337,Test@123
Merchant08130902,JS Checkout,yes,no,FNameNJRYZP,LNameNJRYZP,padmawati.taddy@bankfab.com,yes,no,yes,FNameNJRYZP810,Test@123
Merchant08131049,JS Checkout,yes,no,FNameURPBLF,LNameURPBLF,padmawati.taddy@bankfab.com,no,yes,yes,FNameURPBLF372,Test@123
Merchant08131235,JS Checkout,yes,yes,FNameAOTDHT,LNameAOTDHT,padmawati.taddy@bankfab.com,yes,no,yes,FNameAOTDHT975,Test@123
Merchant08131422,JS Checkout,yes,yes,FNameSHQDRQ,LNameSHQDRQ,padmawati.taddy@bankfab.com,no,yes,yes,FNameSHQDRQ371,Test@123
