URL,Username,Password,MerchantName
https://safexpayuat.bankfab.com/agmerchant/fabIndex.jsp,FNameHRWGJR779,Test@123,Merchant08125446
,FNameXRHNSB685,Test@123,Merchant08125634
,FNameADTLUY258,Test@123,Merchant08125821
,FNameOVFJNF883,Test@123,Merchant08130007
,FNameQEVAML312,Test@123,Merchant08130153
,FNameYPTRWT996,Test@123,Merchant08130340
,FNameEACRTY322,Test@123,Merchant08130527
,FNameSFLCSU337,Test@123,Merchant08130714
,FNameNJRYZP810,Test@123,Merchant08130902
,FNameURPBLF372,Test@123,Merchant08131049
,FNameAOTDHT975,Test@123,Merchant08131235
,FNameSHQDRQ371,Test@123,Merchant08131422
